DeviceLogId,DownloadDate,DeviceId,UserId,LogDate,Direction,AttDirection,C1,C2,C3,C4,C5,C6,C7,WorkCode,UpdateFlag,IsApproved,EmployeeImage,FileName,Longitude,Latitude,CreatedDate,LastModifiedDate,LocationAddress,BodyTemperature,IsMaskOn
82561,12/01/2020 12:30:28,19,HR/EN/1147,11/30/2020 19:30:16,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82560,12/01/2020 12:30:28,19,HR/EN/1147,11/30/2020 19:30:12,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82559,12/01/2020 12:30:28,19,HR/EN/0672,11/30/2020 19:28:20,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82558,12/01/2020 12:30:28,19,HR/EN/0672,11/30/2020 19:28:16,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82557,12/01/2020 12:30:28,19,HR/EN/1482,11/30/2020 19:22:42,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82556,12/01/2020 12:30:28,19,HR/EN/1482,11/30/2020 19:22:35,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82555,12/01/2020 12:30:28,19,HR/EN/0741,11/30/2020 19:22:01,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82554,12/01/2020 12:30:28,19,HR/EN/0741,11/30/2020 19:21:56,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:28,NULL,NULL,0,0
82553,12/01/2020 12:30:25,19,HR/EN/1312,11/30/2020 19:18:43,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82552,12/01/2020 12:30:25,19,HR/EN/1312,11/30/2020 19:18:39,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82551,12/01/2020 12:30:25,19,HR/EN/1484,11/30/2020 19:18:29,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82550,12/01/2020 12:30:25,19,HR/EN/1484,11/30/2020 19:18:20,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
82549,12/01/2020 12:30:25,19,HR/EN/0078,11/30/2020 19:11:09,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:25,NULL,NULL,0,0
